
[register] id=open-integration-form size=1
[handleButtonInteraction] customId=memory-action-42 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-43 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-44 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[status-error] msg=Cannot read properties of undefined (reading 'allowed')
[handleButtonInteraction] customId=memory-action-45 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-46 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-47 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-48 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-49 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-50 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-51 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-52 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-53 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-54 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-55 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-56 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-57 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-58 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-59 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-60 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-61 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-62 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
[handleButtonInteraction] customId=memory-action-63 keys=open-integration-form,cooldown-button,start-workflow,create-issue size=4
